Beautiful Solutions Entry: ID,Beautiful Solutions Entry: beautiful solution name,Type,Short Write-Up,Learn More,Primary contributor name,Values exemplified,Related Stories,Related Solutions,Related Theories,Tags,Scale,Additional authors,Who?,Where?,When,IMAGE LINK,image_name,image_caption,IMAGE RIGHTS,image_source,image_source_url
a16E0000002QHS5,Cooperative Home Care Associates,Story,"Started in the Bronx, Cooperative Home Care Associates (CHCA) is a worker-owned home healthcare agency that hires primarily unemployed and low-income women of color to serve as home care aides. The cooperative was founded on the premise that a worker-owned company that increases wages and benefits for its employees can provide better care to its clients, and is now the largest worker-owned co-op in the United States.
Cooperative Home Care Associates provides intensive training, full-time work, health insurance, overtime protection, union membership, and programming to its 2,300 employees/owners. Building on the success of CHCA and other worker co-ops in the city, New York City recently allocated $1.2 million to fund the development of worker cooperatives.","Cooperative Home Care Associates
Official website of CHCA
Website
http://www.chcany.org

How America’s Largest Worker Owned Co-Op Lifts People Out of Poverty
by Laura Flanders, Yes! Magazine
Article
http://www.yesmagazine.org/issues/the-end-of-poverty/how-america-s-largest-worker-owned-co-op-lifts-people-out-of-poverty",Mara Ranville,Advances justice; Builds resilience; Creates more possibilities; Cultivates abundance; Deepens democracy; Displaces extractive industry,Co-op Power; New Era Windows Cooperative,Worker cooperative,Cooperative commonwealth; Economic democracy; Solidarity economics,community development; cooperatives; justice; racial justice,Local,,Home health care aides and direct care providers,"Bronx, New York City, USA",1985&ndash;Present,https://drive.google.com/file/d/0B9V3YcrBGGVfcUQ2NFM4YjZGQTQ/edit?usp=sharing,Cooperative-Home-Care-Associates.jpg,CHCA worker-owners invest in training for their members.,copyrighted to org page,Cooperative Home Care Associates,http://www.chcany.org/images/training.png
a16E0000002QHS6,Thessaloniki’s social solidarity clinic,Story,"In February 2011, 300 immigrant workers in Greece went on hunger strike demanding dignity and basic civil rights. After the successful conclusion of this protest, the medical team that monitored and supported the hunger strikers in Thessaloniki decided to form a permanent structure to provide health care services to the nearly three million uninsured Greeks and immigrants, who have been left to fend for themselves after the dismantling of the public health system under the dictates of the International Monetary Fund (IMF) and the European Commission. To date, more than 350 volunteers have cared for hundreds of thousands of patients at the Social Solidarity Clinic, which is sustained entirely by the donations of individuals and movement organizations, and managed horizontally by a general assembly.","Solidarity Clinic
Video interview with two volunteers
Video
http://en.labournet.tv/video/6552/solidarity-clinic",Theodoros Karyotis,Advances justice; Builds resilience; Creates more possibilities; Cultivates abundance,Initiative 136; Trade school: barter-for-knowledge,Solutions seized through direct action,Horizontalism; Resilience-based organizing; Social imagination; Solidarity economics,crisis response; decision-making; health; well-being,Local,,Thessaloniki’s Social Solidarity Clinic,"Thessaloniki, Greece",2011&ndash;Present,https://drive.google.com/file/d/0B9V3YcrBGGVfX05LMkUxVHBIVWM/edit?usp=sharing,Social-Solidarity-Clinic.jpg,Thessaloniki’s clinic is one of nearly 20 social solidarity clinics in Greece,,www.kiathess.gr,http://www.kiathess.gr/images/afises/resizedimages/kinwniko.jpg
a16E0000002QHS7,Trade School: barter-for-knowledge,Story,"Trade School is an alternative, self-organized school that runs on barter and places equal value on big ideas, practical skills and experiential knowledge. Anyone can teach a class. Students sign up for a class by agreeing to bring a barter item that the teacher requests. Trade School is about building relationships of trust and mutual aid through the voluntary, reciprocal exchange of resources and service. The first Trade School opened in 2010 in New York City. Today, there is an international network of more than 50 local, self-organized chapters worldwide. The project is organized entirely by volunteer collectives, sharing skills to create spaces of hope amidst rising tuition costs and persistent unemployment.","Trade School
The homepage for Trade School
Website
http://tradeschool.coop/ 

Why a new social care school will run on barters
Article in The Guardian about a trade school in Glasgow 
Article
http://www.theguardian.com/social-care-network/2012/sep/03/work-practices-careers-advice",Caroline Woolard,Celebrates life; Creates more possibilities; Deepens democracy; Extends the commons,Cowry Collective timebank; Thessaloniki's social solidarity clinic; The Zapatista Little School,Timebanking,Sharing economy; The commons,community development; education,Local; Global,,Trade School,"50 locations around the globe including New York City, Athens, Manila and Chihuahua",2010&ndash;Present,https://drive.google.com/file/d/0B9V3YcrBGGVfMEhFNm1KdWN6ajg/edit?usp=sharing,Trade-School.jpg,The first Trade School launched in NYC in 2010. Today there are more than 50 worldwide.,,Trade School,http://tradeschool.coop/about/
a16E0000002QHS8,Marinaleda’s direct action economy,Story,"Since 1979, the community of Marinaleda, Spain, has managed with very little money and lots of direct action to address the town’s economic needs. The community occupied and eventually collectivized the land of a local aristocrat, turned it into a cooperatively run olive farm, built hundreds of co-op homes, and instituted collaborative justice and decision-making processes via community assembly. As a result, a culture of collective action has helped Marinaleda fare better than much of the rest of Spain since the economic crisis of 2008.","The Spanish town where people come before profit
An article about Marinaleda in New Internationalist
Article
http://newint.org/features/web-exclusive/2014/08/28/spain-marinaleda-utopia/

The Village Against the World
A book about Marinaleda by Dan Hancox
Book
http://www.versobooks.com/books/1582-the-village-against-the-world",Liam Barrington-Bush and Jen Wilton,Advances justice; Builds resilience; Creates more possibilities; Cultivates abundance; Deepens democracy; Displaces extractive industry; Extends the commons,,Housing cooperative; Public ownership; Solutions seized through direct action; Worker cooperative,Cooperative commonwealth; Horizontalism; Participatory democracy; Solidarity economics,cooperatives; decision-making; democracy; governance; housing; justice; movement building; planning; urban planning; work,Local,,The town of Marinaleda,"Marinaleda, Andalucia, Spain",1979&ndash;Present,https://drive.google.com/file/d/0B9V3YcrBGGVfanNvem5HNWF2WjA/edit?usp=sharing,Marinaledas-Direct-Action-Economy.jpg,Marinaleda fights for peace.,Creative Commons,Pablo Miranzo,https://flic.kr/p/hSeRNr
a16E0000002QIik,Advances justice,Value,"The Universal Declaration of Human Rights proclaims we all are “born free and equal in dignity and rights,” yet for vast numbers of us, our dignity and rights are under attack from the moment we are born. Systems of oppression are entrenched, insidious, and intersecting across identities such as race, ethnicity, class, gender identity, sexuality, faith, ability, age, education level, or the places we call home. To meaningfully tackle the deep problems with our climate and economy, we must recognize and investigate the larger system of injustice, with roots in histories of colonization, imperialism and exploitation. No grand project of renewal can happen if we continue to advance access and opportunity for some at the expense of others. We all must fight to expand the space for oppressed people to lift up their voices, to claim their right to culture and livelihood, and to lead.",,Beautiful Solutions,,Cooperative Homecare Associates; Dudley Street Neighborhood Initiative; Farm Workers Credit Union; Initiative 136; Marinaleda's direct action economy; The Media Co-op; The river with the rights of a person; Thessaloniki's social solidarity clinic,Land value tax; Maximum wage; Non-extractive financial cooperative; Re-municipalization; Sukuk,Comunalidad; Decolonization; Environmental justice; Horizontalism; Just transition; Solidarity economics; Stewardship; The commons; Usufruct; Zakat,crisis response; democracy; equity; governance; indigenous rights; justice; organized labor; peacebuilding; racial justice,,,,,,https://drive.google.com/file/d/0B_YI65DeAxc_QUdOQVlPUWhFMDQ/edit?usp=sharing,Value-Advances-Justice.jpg,,,,
a16E0000002QIil,Builds resilience,Value,"Resilience is the ability to withstand and recover from shocks to the system. A system is only as strong as its weakest part. In the face of accelerating and deepening crises of culture, economy, and ecology, how can our communities become strong and versatile enough to absorb shocks, and eventually to heal the damage? 
Resilient communities are regenerative. They can bounce back in the face of injury and disease, restoring health to their members and their ecosystem. Resilient communities decentralize power and knowledge, defending against debilitating vacuums created by the loss of a single charismatic leader, a single electrical station, or a single institution that concentrates information. They are also rooted in history, in community, and in place. A commitment to building resilience requires many leaders, many sages, a dense web of interdependence, and a deep capacity for healing and renewal.",,Beautiful Solutions,,Building community economies on Pine Ridge; Cooperative Homecare Associates; Cowry Collective timebank; Dudley Street Neighborhood Initiative; Factor E Farm; Farm Workers Credit Union; Greenwave's restorative ocean farming; Initiative 136; Marinaleda's direct action economy; The Media Co-op; The river with the rights of a person; Thessaloniki's social solidarity clinic,Community currency; Community land trusts; Community purchasing groups; Community supported agriculture; Community wealth building; Housing cooperative; Job guarantee; Net metering; Non-extractive financial cooperative; Permaculture; Public ownership; Reinvestment in just transition; Re-municipalization; Resilience circles; Timebanking,Buen vivir; Community as developer; Comunalidad; Horizontalism; Just transition; Resilience-based organizing; Solidarity economics; Solidarity organizing; Stewardship; The commons; Upstream thinking; Usufruct,agriculture; community development; cooperatives; crisis response; decision-making; energy; food; housing; movement building; organized labor; stewardship,,,,,,https://drive.google.com/file/d/0B_YI65DeAxc_Sm15ZGcwTl9EMzQ/edit?usp=sharing,Value-Builds-Resilience.jpg,,,,
a16E0000002QIim,Celebrates life,Value,"As we construct new economic and social systems, we must not forget to dance, sing, play, pray and create. If oppression is a denial of life, a process of dehumanization, then the affirmation of life should be at the center of our efforts to build a better world. That means honoring culture, art and love in the midst of struggle. It means inviting one another to bring our whole selves to our work, our spiritual and creative selves, our passions, our ways of learning and communicating, our everyday joys and sorrows. When institutions define us by narrow slices of our identities, by the stuff they tell us we need, or by where we fall on an anonymous bell curve, we resist by celebrating one another and the larger webs of life to which we are connected.",,Beautiful Solutions,,Cowry Collective timebank; The river with the rights of a person; The Zapatista Little School; Trade school: barter-for-knowledge; Traffic mimes in Bogotá,(Re)Claiming space through public art; Basic income; Guerrilla gardening; Permaculture,Buen vivir; Horizontalism; Social imagination; Zakat,art; culture; food; health; media; sexuality; well-being,,,,,,https://drive.google.com/file/d/0B_YI65DeAxc_ektRU1h6cWkwZkE/edit?usp=sharing,Value-Celebrates-Life.jpg,,,,
a16E0000002QIin,Cultivates abundance,Value,"There is enough. Enough sunlight, wind, and water to nourish us and power our tools, enough roofs for everyone to sleep under one, enough work for everyone to have a livelihood, enough knowledge to keep teaching and learning forever. We start to believe there is not enough when we feel we need to own what could be shared, when we assign market value disconnected from use value, when those in power amass vast fortunes through stealing, hiding, and holding out of reach. A society that cultivates abundance does not treat human needs as something to be bought and sold, resists a culture that uses the perception of scarcity to obscure problems of distribution and discourage generosity, restores sovereignty, and operates on principles of solidarity and mutual aid.",,Beautiful Solutions,,Anchor procurement in Cleveland; Building community economies on Pine Ridge; Cooperative Homecare Associates; Cowry Collective timebank; Dudley Street Neighborhood Initiative; Factor E Farm; Greenwave's restorative ocean farming; Initiative 136; Marinaleda's direct action economy; The Media Co-op; Thessaloniki's social solidarity clinic; The Zapatista Little School,Basic income; Maximum wage; Non-extractive financial cooperative; Public ownership; Re-municipalization; Sukuk; Timebanking,Buen vivir; Comunalidad; Horizontalism; Pluralist commonwealth; Social imagination; Solidarity economics; Stewardship; The commons; The missing middle; Usufruct; Zakat,agriculture; community development; cooperatives; democracy; energy; equity; financing; food; indigenous rights; justice; land use; movement building; racial justice; resource use; stewardship,,,,,,https://drive.google.com/file/d/0B_YI65DeAxc_bXd2bmNEX2dod2M/edit?usp=sharing,Value-Cultivates-Abundance.jpg,,,,
a16E0000002QIjO,SolidarityNYC,Story,"New York City is the famous home of Wall Street greed, but it’s also home to a flourishing solidarity economy. While it rarely turns up in the news, thousands of New Yorkers are using solidarity practices to create jobs, produce food, house their families, educate themselves, entertain their communities, access healthcare, and restore the environment. SolidarityNYC is a collective of organizers and academics who render these practices visible and bring together solidarity economy groups to share a vision for a city where community needs matter more than capital. Through mapping projects, media-making, and community organizing, SolidarityNYC promotes a Big Apple that’s accessible to all, not just the 1%.","SolidarityNYC
SolidarityNYC’s website and map of the NYC solidarity economy
Website
http://solidaritynyc.org/

Growing A Resilient City: Possibilities For Collaboration In NYC’s Solidarity Economy
A report by SolidarityNYC
Report
http://solidaritynyc.org/wp-content/uploads/2013/02/Growing-A-Resilient-City-SolidarityNYC-Report.pdf

SolidarityNYC: Transforming Our City Through Economic Democracy
An interview with Cheyenna Layne Weber
Article
http://www.shareable.net/blog/solidaritynyc-transforming-our-city-through-economic-democracy

Cooperative Economics Alliance of New York City
A summary of findings published April 2014
Report
http://solidaritynyc.org/wp-content/uploads/2012/09/CEANYC-Final-Report.pdf",Cheyenna Layne Weber,Advances justice; Builds resilience; Creates more possibilities; Cultivates abundance; Deepens democracy,596 Acres; Cooperative Homecare Associates; Southern Grassroots Economies Project; The Media Co-op,Community land trusts; Community wealth building; Housing cooperative; Non-extractive financial cooperative; Worker cooperative,Community as developer; Cooperative commonwealth; Economic democracy; Resilience-based organizing; Solidarity economics; Solidarity organizing,community development; cooperatives; decision-making; democracy; living economies; urban planning,Local,,SolidarityNYC,"New York City, NY, USA",2009&ndash;Present,https://drive.google.com/file/d/0B9V3YcrBGGVfczdKTDRITjZ0MzQ/edit?usp=sharing,SolidarityNYC.jpg,"SolidarityNYC promotes a Big Apple that’s accessible to all, not just the 1%.",,SolidarityNYC,https://www.facebook.com/SolidarityNYC/photos/pb.202447929828316.-2207520000.1410845607./294981830574925/?type=3&theater
a16E0000002QIjP,Alaska Permanent Fund,Story,"For more than thirty years, all residents of Alaska have received yearly dividends from an entity called the Alaska Permanent Fund. Revenue comes from each Alaskan’s claim on the oil wealth extracted by the publicly owned North Slope oil fields. These dividends have ranged from about $1,000 per person per year to over $3,000. Since children are included, a dividend of $2,000 boosts a family of four’s income by $8,000. While it doesn’t do anything to reduce our reliance on fossil fuels, the Fund does prove that a basic income program is both possible and popular: even conservative Alaskan Governor Sarah Palin expanded the levy.","The Alaska Model
Can the Alaska Permanent Fund be a model for other states and regions?
Website
http://dividendsforall.net/the-alaska-model/

The Alaska Model: a citizen's income in practice
An article about the Alaska Fund by Karl Widerquist
Article
https://www.opendemocracy.net/ourkingdom/karl-widerquist/alaska-model-citizens-income-in-practice",Chuck Collins,Extends the commons,,Basic income; Public ownership; Re-municipalization,The commons,equity; policy; politics; resource use,Regional,,"Jay Hammond, former Alaskan governor","Alaska, USA",1976&ndash;Present,https://drive.google.com/file/d/0B9V3YcrBGGVfNnFfYXBTd2Ffbk0/edit?usp=sharing,Alaska-Permanent-Fund.jpg,"Former Alaska Governor Jay Hammond, who created the Alaska Permanent Fund proposal.",,Dividends for All,http://dividendsforall.net/wp-content/uploads/2014/06/Hammond-photo.jpg
a16E0000002QIjQ,Direct Public Offering,Solution,"One of the primary hurdles worker cooperatives encounter is access to capital. Those without cash or collateral simply cannot obtain traditional loans, and venture capitalists looking for big profits and a quick exit will not consider supporting a co-op because their investment won’t come with control of the company. A Direct Public Offering (DPO) is one way for businesses to raise money by selling stock to ordinary people, not just accredited investors. A DPO allows a business to have more control over the terms and to advertise the offering publicly, increasing the pool of investors exponentially! For the business, a DPO provides the “patient” capital it needs to start-up, expand or weather a storm. For the investor, a DPO can bring the potential for annual dividends and the ability to directly support community enterprise.","Direct Public Offering resources
A resource page by Cutting Edge Capital, an organization that provides DPO services
Website
http://www.cuttingedgecapital.com/resources-and-links/direct-public-offering/",Lor Holmes,Builds resilience; Displaces extractive industry,,Community impacting investment; Sukuk; Worker cooperative,Economic democracy,cooperatives; financing,,,,,,https://drive.google.com/file/d/0B9V3YcrBGGVfUjl3ekFoczdMWFE/edit?usp=sharing,Direct-Public-Offering.jpg,People’s Community Market in Oakland is using a DPO to raise local capital.,,People's Community Market,http://peoplescommunitymarket.com/2013/10/30/the-front-porch/
a16E0000002QIjR,Timebanking,Solution,"Timebanking is a way to formalize the exchange of skills and favors while building circles of trust and reciprocity. For every hour you spend doing a favor for someone in the time bank, you earn one time credit, which can then be spent receiving a favor from someone else participating in the timebank. Everyone’s time is valued equally, meaning those whose time is undervalued by the monetary economy (childcare workers, for example) do proportionally better. Examples of exchanges include language lessons, car rides, moving assistance, massage, gardening, web design and music lessons. Time credits may be tracked in an online database, a notebook, or a paper scrip.","Timebanking UK
A UK-based organization promoting timebanking
Website
http://www.timebanking.org/

Books on timebanking
A list by hOurworld, a US-based timebanking organization
Book
https://hourworld.org/_Books.htm

Time Banking: An Idea Whose Time Has Come?
A column by Edgar Cahn in YES! Magazine
Article
http://www.yesmagazine.org/new-economy/time-banking-an-idea-whose-time-has-come",Allison Basile,Builds resilience; Creates more possibilities; Cultivates abundance,Cowry Collective timebank,Community currency,Resilience-based organizing; Sense of place; Solidarity economics,community development; education; well-being; work,,,,,,https://drive.google.com/file/d/0B9V3YcrBGGVfcUhjc2hIWEdWbGs/edit?usp=sharing,Timebanking.jpg,A UK-based Fair Shares member paints a fence in Gloucester.,(CC BY-NC-SA 2.0),Reway2007,https://flic.kr/p/fh1Nfu
a16E0000002QIjS,Public ownership,Solution,"Public ownership is when a municipality, state, nation, or other public body controls and derives benefit from an enterprise or resource. It is a means of ensuring and enhancing community control of the socio-economic decisions that affect local lives and livelihoods. By providing democratic accountability over economically important institutions and enterprises, public ownership can fulfill a variety of objectives, including: increasing public revenues, improving and expanding service, reducing costs for users, providing stable employment, and achieving environmentally sustainable growth or stasis. There are real-world contemporary and historical examples of highly successful public ownership in virtually every economic sector and in cultures and nations across the world.","Rethinking Public Ownership: Making Space for Economic Democracy
by Andrew Cumbers
Book
http://www.zedbooks.co.uk/node/16744

Challenging Corporate Domination: The Public Ownership Approach
by Thomas Hanna, The Good Society
Article
http://community-wealth.org/content/challenging-corporate-domination-public-ownership-approach

Occupy Shocker: A Realistic, Actionable Idea
by Daniel Weidner, The Wall Street Journal
Article
http://community-wealth.org/content/occupy-shocker-realistic-actionable-idea

Broadband at the Speed of Light
by Christopher Mitchell, Institute for Local Self-Reliance
Article
http://www.ilsr.org/wp-content/uploads/2012/04/muni-bb-speed-light.pdf",Thomas Hanna,Builds resilience; Cultivates abundance; Deepens democracy; Displaces extractive industry; Extends the commons,"Alaska Permanent Fund; Boulder, Colorado vs. Xcel energy; Great Lakes Commons Initiative; Philadelphia Land Bank",Public banking; Re-municipalization,Economic democracy; Pluralist commonwealth; The commons,community development; decision-making; democracy; land use; policy; resource use,,,,,,https://drive.google.com/file/d/0B9V3YcrBGGVfMHU0WE1HYnZuSWM/edit?usp=sharing,Public-Ownership.jpg,Workers and community members rally to protect the publicly owned Port of Aukland in New Zealand.,Attribution-NonCommercial-ShareAlike 2.0 Generic,Simon Oosterman,https://flic.kr/p/bkSFkJ
a16E0000002QIjT,Maximum wage,Solution,"A maximum wage is effectively a 100 percent tax on all income above a certain amount. This is far from a novel idea, having been instituted or proposed using a range of mechanisms and in contexts as diverse as revolutionary Russia and WWII wartime US. One proposal circulating in the US in recent years is to levy a 100 percent income tax rate on incomes that exceed a ratio of the federal minimum wage. So if the minimum wage is $10 an hour, a maximum wage could be tied to, say, 50 times the minimum wage. In this scenario, all income above $1.04 million per year, would be taxed at 100 percent. Effectively, no one would make more than a million dollars per year. Who needs more than that anyway?","The Maximum Wage by Sam Pizzigati
Revitalizing America by Taxing the Very Rich
Book
http://www.amazon.com/The-Maximum-Wage-Common-Sense-Prescription/dp/0945257457

A Bold New Call for Maximum Wage
An op-ed on the maximum wage by a US labor leader
Article
http://otherwords.org/a_bold_new_call_for_a_maximum_wage/",Chuck Collins,Advances justice; Cultivates abundance,,Basic income; Land value tax,Social imagination; Zakat,equity; policy; taxation,National,,,,,https://drive.google.com/file/d/0B9V3YcrBGGVfQXNic2x2UVBKNUk/edit?usp=sharing,Maximum-Wage.jpg,"As workers around the world organize for higher minimum wages, maybe we should also be asking: why not a maximum wage?",Attribution-NonCommercial-NoDerivs 2.0 Generic,Steve Rhodes,https://flic.kr/p/fF78vv
a16E0000002QIjU,Zakat,Theory,"In the Islamic tradition, zakat is the mandatory gifting of a portion of one’s income and wealth to poorer citizens, debtors, the enslaved, those struggling for justice, and those far from home. Over centuries, zakat has been reduced to depoliticized charity, often at the expense of the principle’s fundamental point: we all have real claims on one another. The poor have some right to what we think of as the property of the rich. Immigrants have a right to a compassionate welcome. We need not devise new principles, or export Western ones, in our search for alternatives: the values that will support sustainable societies already exist all over the world. What we need to do is reclaim them.","Zakat: Drawing Insights for Legal Theory and Economic Policy
A paper by Russell Powell
Paper
http://digitalcommons.law.seattleu.edu/cgi/viewcontent.cgi?article=1089&context=faculty",Sofia Fenner,Advances justice; Celebrates life; Cultivates abundance; Extends the commons,,Maximum wage; Sukuk,Economic democracy; The commons,culture; equity; justice,,,,,,https://drive.google.com/file/d/0B9V3YcrBGGVfdjdIeWNjdnNDdGc/edit?usp=sharing,Zakat.jpg,"In the Muslim tradition, prayer and zakat are intimately linked. There is no relationship with the divine separate from our equitable relationships with one another.",(CC BY-NC 2.0),Daniel Parks,https://flic.kr/p/f6PzLR
a16E0000002QIjV,Horizontalism,Theory,"Horizontalism (horizontalidad) was first used to describe the relationships that emerged in Argentina after the 2001 economic crisis. In Argentina, as in Greece and Spain more recently, hundreds of thousands of people took to the streets and began self-organizing: forming neighborhood assemblies, occupying and re-opening shuttered workplaces, and setting up massive barter networks. Horizontalism became one of the main ways people described what they were doing: building relationships grounded in equality, autonomy and respect, with no one having power over another. While horizontalism implies the use of direct democracy, it does not necessitate the use of any one form of decision making. The goal is to be flexible and responsive, so that all voices are heard and empowering relationships are created.","Horizontalism: Voices of Popular Power in Argentina
edited by Marina Sitrin, AK Press 2006
Book
http://www.akpress.org/horizontalism.html

Horizontalism and the Occupy Movements
An article by Marina Sitrin in Dissent Magazine
Article
http://www.dissentmagazine.org/article/horizontalism-and-the-occupy-movements",Marina Sitrin,Advances justice; Builds resilience; Celebrates life; Creates more possibilities; Cultivates abundance; Deepens democracy,Marinaleda's direct action economy; The Media Co-op; Thessaloniki's social solidarity clinic; The Zapatista Little School,Worker cooperative,Comunalidad; Participatory democracy,cooperatives; culture; decision-making; democracy; governance,,,,,,https://drive.google.com/file/d/0ByZ-eUYQJzcOTlhEUXZGNXlIRms/edit?usp=sharing,Horizontalism.jpg,"Horizontalism is about building relationships grounded in equality, autonomy and respect, with no one having power over another",,Nicolas Posthumis,http://marinasitrin.com/?page_id=108
a16E0000002QNGt,Extends the commons,Value,"For centuries, wealthy individuals, corporations, and the state have sought to enclose and privatize commonly held resources, particularly those belonging to indigenous and agrarian societies that understand our relationship to the commons as one of stewardship rather than ownership. These communities have resisted such encroachments, fighting not just to defend common control of land, housing, healthcare, human knowledge, and other vital spheres that shape our daily lives, but to extend those commons. Today’s efforts to defend and extend the commons are helping us all to rediscover relationships rooted in cooperation, solidarity and stewardship, rather than competition, egotism and exploitation.",,Beautiful Solutions,,"596 Acres; Alaska Permanent Fund; Anchor procurement in Cleveland; Boulder, Colorado vs. Xcel energy; Building community economies on Pine Ridge; Cowry Collective timebank; Dudley Street Neighborhood Initiative; Factor E Farm; Great Lakes Commons Initiative; Greenwave's restorative ocean farming; Initiative 136; Marinaleda's direct action economy; The Beaver Lake Cree's tarsands lawsuit; The Media Co-op; The river with the rights of a person; Thessaloniki's social solidarity clinic; The Zapatista Little School",Basic income; Community land trusts; Community wealth building; Housing cooperative; Net metering; Participatory budgeting; Peer Production License; Public banking; Public ownership; Re-municipalization; Sukuk,Buen vivir; Community as developer; Comunalidad; Decolonization; Economic democracy; Environmental justice; Horizontalism; Pluralist commonwealth; Solidarity economics; Stewardship; The commons; Usufruct; Zakat,agriculture; climate; decision-making; democracy; energy; equity; food; governance; justice; land use; planning; policy; resource use; stewardship; urban planning; well-being,,,,,,https://drive.google.com/file/d/0B_YI65DeAxc_ZGE0eC15ZU4zSlU/edit?usp=sharing,Value-Extends-The-Commons.jpg,,,,
a16E0000002Qepx,596 Acres,Story,"There are thousands of publicly owned vacant lots in the neighborhoods of New York City. These empty spaces fill with garbage and blight communities they could otherwise enliven. To address the issue, 596 Acres began a pilot project to help neighbors identify opportunities to transform fenced-in vacant lots into gardens, farms and play spaces. Through a crowd-sourced map and organizing support, 596 Acres has assisted 143 neighbor-led campaigns in turning 6.7 acres of vacant parcels of land into open community spaces; 26 campaigns have already been successful. Their experience has led to partnerships with advocates in other US cities, seeding three new projects in Philadelphia, New Orleans, and Los Angeles. With online tools and hands-on advocacy, 596 Acres is opening up the commons and creating spaces where people have the opportunity to rebuild their city together.","596 Acres
The homepage for 596 Acres
Website
http://596acres.org/en/

Opening up vacant lots data
A piece on 596 Acres by Paula Segal
Article
http://legacycities.americanassembly.org/opening-up-vacant-lots-data/

Living Lots NOLA
Website for a similar project happening in New Orleans
Website
https://livinglotsnola.org",Paula Z. Segal,Advances justice; Builds resilience; Creates more possibilities; Cultivates abundance; Deepens democracy; Extends the commons,Dudley Street Neighborhood Initiative,(Re)Claiming space through public art; Land value tax; Resilience circles,Community as developer; Resilience-based organizing; Sense of place; Stewardship; The commons,community development; land use; stewardship; urban planning,Local,,596 Acres,"New York City, NY, USA",2011&ndash;Present,https://drive.google.com/file/d/0ByZ-eUYQJzcObzQ5eFVpVkRndkk/edit?usp=sharing,596-Acres.jpg,596 Acres sign encourages community members to inquire about lot space and use.,non-commercial share-alike,Matt Green,http://bit.ly/1wu57qB
a16E0000002Qf84,Recuperated workplaces,Solution,"Occupy, Resist, Produce! This slogan, borrowed from the landless movement in Brazil, summarizes how workers around the world, beginning in Argentina, have been taking back their lives and their work. Instead of accepting unemployment due to workplace closure, workers form horizontal assemblies and “recuperate” (take back) their workplace, resist eviction, and begin producing again. Many recuperated workplaces organize horizontally and with equal remuneration. This phenomenon has been spreading, from the South to the North, with recent recuperations in Greece, Italy and France.","The Take
A documentary by Avi Lewis & Naomi Klein
Video
https://www.youtube.com/watch?v=mcostesK0Ik

Recuperated Enterprises in Argentina: Reversing the Logic of Capitalism
by Marie Trigona, The Americas Program
Article
http://www.cipamericas.org/archives/1005

Horizontalism: Voices of Popular Power in Argentina
edited by Marina Sitrin, AK Press 2006
Book
http://www.akpress.org/horizontalism.html",Marina Sitrin,Advances justice; Builds resilience; Creates more possibilities; Cultivates abundance; Deepens democracy; Displaces extractive industry,Marinaleda's direct action economy; New Era Windows Cooperative; Thessaloniki's social solidarity clinic,Non-extractive financial cooperative; Solutions seized through direct action; Worker cooperative,Cooperative commonwealth; Economic democracy; Solidarity economics,cooperatives; justice; movement building; resource use; work,,,,,,https://drive.google.com/file/d/0B9V3YcrBGGVfbjE1TG9RakR3YzQ/view?usp=sharing,Recuperated-Workplaces.jpg,"The documentary ""The Take"" tells the story of 30 unemployed auto-parts workers who walked into their idle factory, rolled out sleeping mats and refused to leave.",fair use,Hello Cool World,http://hellocoolworld.com/media/TheTake/Take%20Poster%20300dpi.jpg
a16E0000002Qf8d,Community land trust,Solution,"A community land trust is a form of collective land ownership that prioritizes community uses of the land, promoting affordable and cooperative housing, sustainable agriculture, and other uses not fully valued by the market. Community land trusts are nonprofits that typically have a three-part board, representing leaseholders, the surrounding community, and the broader public interest. The trust owns and stewards the land in perpetuity and leases the land to homeowners, farmers, and businesses, who must comply with terms set by the community land trust, such as preserving affordability. The first community land trust was established in 1969 in Georgia to secure land for black farmers; there are now almost 250 land trusts in nearly every U.S. state, and many more around the world.","Community Land Trust resources and links
Great resources on land trusts compiled by the Schumacher Center for a New Economics
Website
http://www.centerforneweconomics.org/content/community-land-trusts

Why You Should Give Up Your Land
Slate magazine article on CLTs by Nik Steinberg
Article
http://www.centerforneweconomics.org/content/clt-slate-article

Overview: Community Land Trusts (CLTs)
Resources on CLTs compiled by the Democracy Collaborative
Website
http://community-wealth.org/strategies/panel/clts/index.html",Penn Loh,Advances justice; Builds resilience; Creates more possibilities; Cultivates abundance; Deepens democracy; Displaces extractive industry; Extends the commons,Brazilian Landless Workers' Movement; Dudley Street Neighborhood Initiative,Community wealth building; Housing cooperative; Public ownership,Community as developer; Solidarity economics,community development; equity; housing; land use; resource use; stewardship; urban planning,Local,,,,,https://drive.google.com/file/d/0B9V3YcrBGGVfMUIxbndyRWdjMlE/view?usp=sharing,Community-Land-Trust.jpg,"Residents and community leaders breaking ground on the first urban farm in Boston -- owned by Dudley Neighbors Inc., a community land trust",,Dudley Street Neighborhood Initiative,http://www.dsni.org/neighbors-celebrate-boston%E2%80%99s-first-commercial-farm
